drug_id,drug_name,smiles
RxNorm:30077,mivacurium,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C
RxNorm:30125,modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
RxNorm:7145,mycophenolic acid,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
RxNorm:7242,naloxone,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O
RxNorm:53654,nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
RxNorm:49737,esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
RxNorm:9947,sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
RxNorm:46303,amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
RxNorm:725,amphetamine,CC(CC1=CC=CC=C1)N
RxNorm:1673265,aripiprazole lauroxil,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
RxNorm:89013,aripiprazole,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
MeSH:C515878,ataluren,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F
RxNorm:6185,labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
RxNorm:2045726,avatrombopag,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl
RxNorm:1543543,belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO
RxNorm:6918,metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
RxNorm:149,acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
RxNorm:1658314,brexpiprazole,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4
RxNorm:1739745,brivaracetam,CCCC1CC(=O)N(C1)C(CC)C(=O)N
Drugbank:DB12752,bucindolol,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O
RxNorm:7226,nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O
RxNorm:1202,atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
RxNorm:31555,nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O
RxNorm:8332,pindolol,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
RxNorm:1520,betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
RxNorm:8787,propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
RxNorm:19484,bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
RxNorm:20352,carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
RxNorm:3328,dibekacin,C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N
RxNorm:2101,carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
RxNorm:734064,desvenlafaxine,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
RxNorm:596723,cerivastatin,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O
RxNorm:72625,duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
RxNorm:44281,cevimeline,CC1OC2(CN3CCC2CC3)CS1
RxNorm:2555,cisplatin,N.N.Cl[Pt]Cl
RxNorm:21241,clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
RxNorm:2626,clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
RxNorm:3002,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
RxNorm:3008,cyclosporine,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
RxNorm:136198,darifenacin,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
RxNorm:3109,daunorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
RxNorm:1876905,deutetrabenazine,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
RxNorm:3289,dextromethorphan,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC
RxNorm:3322,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
